locusId	sysName	desc	comb	set1IT002	set1IT003	set1IT004
EKN05_007615	EKN05_007615	fumarate hydratase FumD	EKN05_007615 fumarate hydratase FumD	120	386	97
EKN05_007620	EKN05_007620	ferredoxin-like protein	EKN05_007620 ferredoxin-like protein	123	200	155
EKN05_007625	EKN05_007625	aldehyde ferredoxin oxidoreductase	EKN05_007625 aldehyde ferredoxin oxidoreductase	1884	2059	731
EKN05_007630	EKN05_007630	YdhW family putative oxidoreductase system protein	EKN05_007630 YdhW family putative oxidoreductase system protein	150	241	272
EKN05_007640	EKN05_007640	thiosulfate reductase cytochrome B subunit	EKN05_007640 thiosulfate reductase cytochrome B subunit	4535	4155	3586
EKN05_007645	EKN05_007645	hypothetical protein	EKN05_007645 hypothetical protein	1	27	82
EKN05_007650	EKN05_007650	FAD-NAD(P)-binding protein	EKN05_007650 FAD-NAD(P)-binding protein	662	777	451
EKN05_007670	EKN05_007670	hypothetical protein	EKN05_007670 hypothetical protein	714	238	222
EKN05_007675	EKN05_007675	multidrug efflux MATE transporter MdtK	EKN05_007675 multidrug efflux MATE transporter MdtK	278	266	60
EKN05_007685	EKN05_007685	cyclopropane fatty acyl phospholipid synthase	EKN05_007685 cyclopropane fatty acyl phospholipid synthase	1727	2228	1365
EKN05_007690	EKN05_007690	Bcr/CflA family multidrug efflux MFS transporter	EKN05_007690 Bcr/CflA family multidrug efflux MFS transporter	39	310	66
EKN05_007695	EKN05_007695	LysR family transcriptional regulator	EKN05_007695 LysR family transcriptional regulator	285	237	58
EKN05_007700	EKN05_007700	HTH-type transcriptional repressor PurR	EKN05_007700 HTH-type transcriptional repressor PurR	8952	6876	3428
EKN05_007705	EKN05_007705	stress response protein YnhF	EKN05_007705 stress response protein YnhF	2	60	12
EKN05_007710	EKN05_007710	MFS transporter	EKN05_007710 MFS transporter	2358	1789	856
EKN05_007715	EKN05_007715	superoxide dismutase [Fe]	EKN05_007715 superoxide dismutase [Fe]	57	68	108
EKN05_007720	EKN05_007720	endopeptidase	EKN05_007720 endopeptidase	132	104	98
EKN05_007725	EKN05_007725	Grx4 family monothiol glutaredoxin	EKN05_007725 Grx4 family monothiol glutaredoxin	5	114	260
EKN05_007740	EKN05_007740	ATP-dependent helicase	EKN05_007740 ATP-dependent helicase	6762	5864	3175
EKN05_007755	EKN05_007755	N-ethylmaleimide reductase	EKN05_007755 N-ethylmaleimide reductase	3514	3210	2112
EKN05_007760	EKN05_007760	TetR/AcrR family transcriptional regulator	EKN05_007760 TetR/AcrR family transcriptional regulator	933	733	210
EKN05_007770	EKN05_007770	aldo/keto reductase family oxidoreductase	EKN05_007770 aldo/keto reductase family oxidoreductase	110	52	27
EKN05_007780	EKN05_007780	FUSC family protein	EKN05_007780 FUSC family protein	1277	836	495
EKN05_007875	EKN05_007875	electron transport complex subunit RsxC	EKN05_007875 electron transport complex subunit RsxC	512	306	150
EKN05_007880	EKN05_007880	electron transport complex subunit RsxB	EKN05_007880 electron transport complex subunit RsxB	236	234	37
EKN05_007905	EKN05_007905	oxidoreductase	EKN05_007905 oxidoreductase	253	290	62
EKN05_007910	EKN05_007910	adenosine deaminase	EKN05_007910 adenosine deaminase	124	13	30
EKN05_007915	EKN05_007915	bifunctional maltose regulon transcriptional repressor/cystathionine beta-lyase MalY	EKN05_007915 bifunctional maltose regulon transcriptional repressor/cystathionine beta-lyase MalY	567	375	776
EKN05_007920	EKN05_007920	PTS maltose transporter subunit IICB	EKN05_007920 PTS maltose transporter subunit IICB	695	592	872
EKN05_007925	EKN05_007925	Mal regulon transcriptional regulator MalI	EKN05_007925 Mal regulon transcriptional regulator MalI	490	417	250
EKN05_007930	EKN05_007930	7-alpha-hydroxysteroid dehydrogenase	EKN05_007930 7-alpha-hydroxysteroid dehydrogenase	105	113	43
EKN05_007940	EKN05_007940	SDR family oxidoreductase	EKN05_007940 SDR family oxidoreductase	58	46	11
EKN05_007945	EKN05_007945	TetR/AcrR family transcriptional regulator	EKN05_007945 TetR/AcrR family transcriptional regulator	583	619	510
EKN05_007950	EKN05_007950	beta-glucuronidase	EKN05_007950 beta-glucuronidase	444	116	23
EKN05_007955	EKN05_007955	glucuronide transporter	EKN05_007955 glucuronide transporter	134	222	249
EKN05_007965	EKN05_007965	DUF945 domain-containing protein	EKN05_007965 DUF945 domain-containing protein	41	95	257
EKN05_007970	EKN05_007970	mannose-6-phosphate isomerase	EKN05_007970 mannose-6-phosphate isomerase	0	0	56
EKN05_007975	EKN05_007975	fumarate hydratase	EKN05_007975 fumarate hydratase	724	560	257
EKN05_007980	EKN05_007980	class II fumarate hydratase	EKN05_007980 class II fumarate hydratase	935	610	292
EKN05_007985	EKN05_007985	DNA replication terminus site-binding protein	EKN05_007985 DNA replication terminus site-binding protein	63	372	215
EKN05_007990	EKN05_007990	two-component system sensor histidine kinase RstB	EKN05_007990 two-component system sensor histidine kinase RstB	451	274	535
EKN05_007995	EKN05_007995	cation:dicarboxylase symporter family transporter	EKN05_007995 cation:dicarboxylase symporter family transporter	2424	2580	772
EKN05_008005	EKN05_008005	GlpM family protein	EKN05_008005 GlpM family protein	166	64	0
EKN05_008025	EKN05_008025	Re/Si-specific NAD(P)(+) transhydrogenase subunit alpha	EKN05_008025 Re/Si-specific NAD(P)(+) transhydrogenase subunit alpha	147	107	615
EKN05_008030	EKN05_008030	Re/Si-specific NAD(P)(+) transhydrogenase subunit beta	EKN05_008030 Re/Si-specific NAD(P)(+) transhydrogenase subunit beta	56	230	132
EKN05_008035	EKN05_008035	AI-2 transporter TqsA	EKN05_008035 AI-2 transporter TqsA	41	0	49
EKN05_008050	EKN05_008050	multidrug/spermidine efflux SMR transporter subunit MdtI	EKN05_008050 multidrug/spermidine efflux SMR transporter subunit MdtI	106	276	17
EKN05_008055	EKN05_008055	serine protease	EKN05_008055 serine protease	183	96	2
EKN05_008060	EKN05_008060	hypothetical protein	EKN05_008060 hypothetical protein	433	221	72
EKN05_008065	EKN05_008065	acid shock protein	EKN05_008065 acid shock protein	2	226	74
EKN05_008075	EKN05_008075	LysR family transcriptional regulator	EKN05_008075 LysR family transcriptional regulator	1893	1709	1414
EKN05_008080	EKN05_008080	DNA-binding transcriptional repressor Mlc	EKN05_008080 DNA-binding transcriptional repressor Mlc	1198	931	653
EKN05_008085	EKN05_008085	ATP-dependent dethiobiotin synthetase BioD	EKN05_008085 ATP-dependent dethiobiotin synthetase BioD	99	89	33
EKN05_008090	EKN05_008090	voltage-gated ClC-type chloride channel ClcB	EKN05_008090 voltage-gated ClC-type chloride channel ClcB	839	804	652
EKN05_008115	EKN05_008115	dimethyl sulfoxide reductase subunit A	EKN05_008115 dimethyl sulfoxide reductase subunit A	51	254	70
EKN05_008135	EKN05_008135	hypothetical protein	EKN05_008135 hypothetical protein	59	99	79
EKN05_008150	EKN05_008150	efflux MFS transporter YdeE	EKN05_008150 efflux MFS transporter YdeE	42	57	69
EKN05_008155	EKN05_008155	O-acetylserine/cysteine exporter	EKN05_008155 O-acetylserine/cysteine exporter	355	251	100
EKN05_008160	EKN05_008160	multiple antibiotic resistance protein MarB	EKN05_008160 multiple antibiotic resistance protein MarB	2051	1163	297
EKN05_008170	EKN05_008170	multiple antibiotic resistance transcriptional regulator MarR	EKN05_008170 multiple antibiotic resistance transcriptional regulator MarR	1	24	160
EKN05_008180	EKN05_008180	L-arabinose transporter	EKN05_008180 L-arabinose transporter	243	282	125
EKN05_008195	EKN05_008195	aldehyde dehydrogenase family protein	EKN05_008195 aldehyde dehydrogenase family protein	459	294	53
EKN05_008205	EKN05_008205	DUF4186 domain-containing protein	EKN05_008205 DUF4186 domain-containing protein	448	488	310
EKN05_008210	EKN05_008210	GGDEF domain-containing protein	EKN05_008210 GGDEF domain-containing protein	7185	6394	3141
EKN05_008215	EKN05_008215	tagaturonate reductase	EKN05_008215 tagaturonate reductase	812	430	594
EKN05_008230	EKN05_008230	hypothetical protein	EKN05_008230 hypothetical protein	3585	4528	1750
EKN05_008235	EKN05_008235	trans-aconitate 2-methyltransferase	EKN05_008235 trans-aconitate 2-methyltransferase	645	501	360
EKN05_008240	EKN05_008240	(4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase	EKN05_008240 (4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase	87	61	240
EKN05_008245	EKN05_008245	3-hydroxy-5-phosphonooxypentane-2,4-dione thiolase	EKN05_008245 3-hydroxy-5-phosphonooxypentane-2,4-dione thiolase	2572	3276	1432
EKN05_008260	EKN05_008260	autoinducer 2 ABC transporter permease LsrD	EKN05_008260 autoinducer 2 ABC transporter permease LsrD	1399	1045	651
EKN05_008265	EKN05_008265	autoinducer 2 ABC transporter permease LsrC	EKN05_008265 autoinducer 2 ABC transporter permease LsrC	226	257	274
EKN05_008270	EKN05_008270	autoinducer 2 ABC transporter ATP-binding protein LsrA	EKN05_008270 autoinducer 2 ABC transporter ATP-binding protein LsrA	4	82	0
EKN05_008290	EKN05_008290	starvation-sensing protein RspA	EKN05_008290 starvation-sensing protein RspA	330	144	369
EKN05_008315	EKN05_008315	DUF1161 domain-containing protein	EKN05_008315 DUF1161 domain-containing protein	202	178	15
EKN05_008320	EKN05_008320	oxidoreductase	EKN05_008320 oxidoreductase	156	262	157
EKN05_008335	EKN05_008335	TIGR00156 family protein	EKN05_008335 TIGR00156 family protein	586	318	171
EKN05_008340	EKN05_008340	2-oxo-tetronate isomerase	EKN05_008340 2-oxo-tetronate isomerase	122	154	425
EKN05_008345	EKN05_008345	peptidyl-dipeptidase Dcp	EKN05_008345 peptidyl-dipeptidase Dcp	3	90	41
EKN05_008350	EKN05_008350	bifunctional NADP-dependent 3-hydroxy acid dehydrogenase/3-hydroxypropionate dehydrogenase YdfG	EKN05_008350 bifunctional NADP-dependent 3-hydroxy acid dehydrogenase/3-hydroxypropionate dehydrogenase YdfG	400	123	46
EKN05_008365	EKN05_008365	mannitol dehydrogenase family protein	EKN05_008365 mannitol dehydrogenase family protein	1226	536	377
EKN05_008370	EKN05_008370	MFS transporter	EKN05_008370 MFS transporter	2240	1459	1155
EKN05_008380	EKN05_008380	hypothetical protein	EKN05_008380 hypothetical protein	671	388	125
EKN05_008390	EKN05_008390	type II toxin-antitoxin system mRNA interferase RelE	EKN05_008390 type II toxin-antitoxin system mRNA interferase RelE	399	140	52
EKN05_008395	EKN05_008395	type I toxin-antitoxin system toxin HokD	EKN05_008395 type I toxin-antitoxin system toxin HokD	192	316	799
EKN05_008400	EKN05_008400	hypothetical protein	EKN05_008400 hypothetical protein	5	55	184
EKN05_008410	EKN05_008410	DUF968 domain-containing protein	EKN05_008410 DUF968 domain-containing protein	2881	2617	1255
EKN05_008415	EKN05_008415	RusA family crossover junction endodeoxyribonuclease	EKN05_008415 RusA family crossover junction endodeoxyribonuclease	7	73	82
EKN05_008420	EKN05_008420	antitermination protein	EKN05_008420 antitermination protein	73	45	66
EKN05_008425	EKN05_008425	antitermination protein	EKN05_008425 antitermination protein	920	769	797
EKN05_008435	EKN05_008435	tRNA-Arg	EKN05_008435 tRNA-Arg	1	15	111
EKN05_008440	EKN05_008440	hypothetical protein	EKN05_008440 hypothetical protein	46	13	8
EKN05_008460	EKN05_008460	holin	EKN05_008460 holin	283	261	285
EKN05_008480	EKN05_008480	acid resistance putative oxidoreductase YdeP	EKN05_008480 acid resistance putative oxidoreductase YdeP	2060	2095	1440
EKN05_008495	EKN05_008495	sulfatase	EKN05_008495 sulfatase	68	364	236
EKN05_008510	EKN05_008510	electron transfer flavoprotein	EKN05_008510 electron transfer flavoprotein	369	311	833
EKN05_008515	EKN05_008515	electron transfer flavoprotein subunit alpha	EKN05_008515 electron transfer flavoprotein subunit alpha	1340	1496	1004
EKN05_008530	EKN05_008530	medium-chain fatty-acid--CoA ligase	EKN05_008530 medium-chain fatty-acid--CoA ligase	883	1124	622
EKN05_008535	EKN05_008535	phosphoenolpyruvate synthase	EKN05_008535 phosphoenolpyruvate synthase	92	313	336
EKN05_008540	EKN05_008540	posphoenolpyruvate synthetase regulatory kinase/phosphorylase PpsR	EKN05_008540 posphoenolpyruvate synthetase regulatory kinase/phosphorylase PpsR	2121	2596	1672
EKN05_008545	EKN05_008545	3-deoxy-7-phosphoheptulonate synthase AroH	EKN05_008545 3-deoxy-7-phosphoheptulonate synthase AroH	2969	2421	1175
EKN05_008560	EKN05_008560	anti-FlhDC factor	EKN05_008560 anti-FlhDC factor	64	110	50
EKN05_008570	EKN05_008570	lipoprotein	EKN05_008570 lipoprotein	479	58	187
EKN05_008585	EKN05_008585	vitamin B12 ABC transporter permease BtuC	EKN05_008585 vitamin B12 ABC transporter permease BtuC	3411	2246	817
EKN05_008650	EKN05_008650	DUF481 domain-containing protein	EKN05_008650 DUF481 domain-containing protein	355	623	307
EKN05_008665	EKN05_008665	fructosamine kinase family protein	EKN05_008665 fructosamine kinase family protein	166	34	46
EKN05_008670	EKN05_008670	hypothetical protein	EKN05_008670 hypothetical protein	1056	1227	834
EKN05_008675	EKN05_008675	hexitol phosphatase HxpB	EKN05_008675 hexitol phosphatase HxpB	889	555	216
EKN05_008685	EKN05_008685	L-cystine transporter	EKN05_008685 L-cystine transporter	293	181	27
EKN05_008695	EKN05_008695	cell division activator CedA	EKN05_008695 cell division activator CedA	8257	8597	4166
EKN05_008700	EKN05_008700	catalase HPII	EKN05_008700 catalase HPII	1328	1440	906
EKN05_008705	EKN05_008705	chitin disaccharide deacetylase	EKN05_008705 chitin disaccharide deacetylase	4437	4852	3198
EKN05_008710	EKN05_008710	6-phospho-beta-glucosidase	EKN05_008710 6-phospho-beta-glucosidase	166	230	184
EKN05_008720	EKN05_008720	PTS N,N'-diacetylchitobiose transporter subunit IIA	EKN05_008720 PTS N,N'-diacetylchitobiose transporter subunit IIA	100	132	34
EKN05_008725	EKN05_008725	PTS N,N'-diacetylchitobiose transporter subunit IIC	EKN05_008725 PTS N,N'-diacetylchitobiose transporter subunit IIC	2	21	76
EKN05_008735	EKN05_008735	hypothetical protein	EKN05_008735 hypothetical protein	264	395	60
EKN05_008740	EKN05_008740	osmotically-inducible lipoprotein OsmE	EKN05_008740 osmotically-inducible lipoprotein OsmE	164	266	14
EKN05_008750	EKN05_008750	excinuclease Cho	EKN05_008750 excinuclease Cho	107	287	461
EKN05_008760	EKN05_008760	ATP-independent periplasmic protein-refolding chaperone	EKN05_008760 ATP-independent periplasmic protein-refolding chaperone	428	136	39
EKN05_008770	EKN05_008770	N-succinylarginine dihydrolase	EKN05_008770 N-succinylarginine dihydrolase	316	316	88
EKN05_008775	EKN05_008775	succinylglutamate-semialdehyde dehydrogenase	EKN05_008775 succinylglutamate-semialdehyde dehydrogenase	294	396	409
EKN05_008780	EKN05_008780	arginine N-succinyltransferase	EKN05_008780 arginine N-succinyltransferase	70	365	118
EKN05_008865	EKN05_008865	NADP-specific glutamate dehydrogenase	EKN05_008865 NADP-specific glutamate dehydrogenase	607	402	123
EKN05_008870	EKN05_008870	DUF1266 domain-containing protein	EKN05_008870 DUF1266 domain-containing protein	8	83	432
EKN05_008880	EKN05_008880	DUF1266 domain-containing protein	EKN05_008880 DUF1266 domain-containing protein	254	7	307
EKN05_008890	EKN05_008890	selenide, water dikinase SelD	EKN05_008890 selenide, water dikinase SelD	485	825	595
EKN05_008900	EKN05_008900	signal peptide peptidase SppA	EKN05_008900 signal peptide peptidase SppA	379	232	58
EKN05_008905	EKN05_008905	L-asparaginase 1	EKN05_008905 L-asparaginase 1	4874	3723	2466
EKN05_008925	EKN05_008925	MFS transporter	EKN05_008925 MFS transporter	203	206	220
EKN05_008940	EKN05_008940	sugar kinase	EKN05_008940 sugar kinase	153	227	44
EKN05_008945	EKN05_008945	ketose-bisphosphate aldolase	EKN05_008945 ketose-bisphosphate aldolase	517	291	492
EKN05_009030	EKN05_009030	Slp family lipoprotein YeaY	EKN05_009030 Slp family lipoprotein YeaY	267	300	62
EKN05_009040	EKN05_009040	ATP-dependent DNA helicase	EKN05_009040 ATP-dependent DNA helicase	1581	808	974
EKN05_009045	EKN05_009045	RidA family protein	EKN05_009045 RidA family protein	46	28	15
EKN05_009050	EKN05_009050	DUF1889 family protein	EKN05_009050 DUF1889 family protein	176	30	4
EKN05_009060	EKN05_009060	aminodeoxychorismate synthase component 1	EKN05_009060 aminodeoxychorismate synthase component 1	2637	2664	2132
EKN05_009065	EKN05_009065	CoA pyrophosphatase	EKN05_009065 CoA pyrophosphatase	247	259	118
EKN05_009070	EKN05_009070	L-serine ammonia-lyase	EKN05_009070 L-serine ammonia-lyase	2070	2275	1366
EKN05_009075	EKN05_009075	cyclic diguanylate phosphodiesterase	EKN05_009075 cyclic diguanylate phosphodiesterase	133	568	219
EKN05_009080	EKN05_009080	TerC family protein	EKN05_009080 TerC family protein	199	504	18
EKN05_009085	EKN05_009085	PTS mannose transporter subunit IIAB	EKN05_009085 PTS mannose transporter subunit IIAB	748	257	199
EKN05_009090	EKN05_009090	PTS mannose/fructose/sorbose transporter subunit IIC	EKN05_009090 PTS mannose/fructose/sorbose transporter subunit IIC	464	542	74
EKN05_009095	EKN05_009095	PTS mannose transporter subunit IID	EKN05_009095 PTS mannose transporter subunit IID	837	1825	816
EKN05_009110	EKN05_009110	manganese efflux pump MntP	EKN05_009110 manganese efflux pump MntP	144	396	166
EKN05_009115	EKN05_009115	23S rRNA (guanine(745)-N(1))-methyltransferase	EKN05_009115 23S rRNA (guanine(745)-N(1))-methyltransferase	589	398	596
EKN05_009145	EKN05_009145	DNA-binding transcriptional regulator KdgR	EKN05_009145 DNA-binding transcriptional regulator KdgR	1319	557	413
EKN05_009150	EKN05_009150	MFS transporter	EKN05_009150 MFS transporter	44	293	246
EKN05_009160	EKN05_009160	carboxy terminal-processing peptidase	EKN05_009160 carboxy terminal-processing peptidase	63	242	61
EKN05_009170	EKN05_009170	GAF domain-containing protein	EKN05_009170 GAF domain-containing protein	153	167	356
EKN05_009175	EKN05_009175	paraquat-inducible protein A	EKN05_009175 paraquat-inducible protein A	1652	1019	856
EKN05_009180	EKN05_009180	PqiB family protein	EKN05_009180 PqiB family protein	442	414	709
EKN05_009185	EKN05_009185	16S rRNA (cytosine(1407)-C(5))-methyltransferase RsmF	EKN05_009185 16S rRNA (cytosine(1407)-C(5))-methyltransferase RsmF	441	254	243
EKN05_009190	EKN05_009190	DUF1480 family protein	EKN05_009190 DUF1480 family protein	174	397	116
EKN05_009210	EKN05_009210	serine/threonine protein phosphatase	EKN05_009210 serine/threonine protein phosphatase	529	259	149
EKN05_009220	EKN05_009220	T3SS effector E3 ubiquitin-protein ligase IpaH3	EKN05_009220 T3SS effector E3 ubiquitin-protein ligase IpaH3	120	57	105
EKN05_009235	EKN05_009235	hypothetical protein	EKN05_009235 hypothetical protein	553	795	220
EKN05_009260	EKN05_009260	site-specific integrase	EKN05_009260 site-specific integrase	903	1154	846
EKN05_009265	EKN05_009265	iron/manganese ABC transporter substrate-binding protein SitA	EKN05_009265 iron/manganese ABC transporter substrate-binding protein SitA	34	53	512
EKN05_009270	EKN05_009270	iron/manganese ABC transporter ATP-binding protein SitB	EKN05_009270 iron/manganese ABC transporter ATP-binding protein SitB	831	296	305
EKN05_009275	EKN05_009275	iron/manganese ABC transporter permease subunit SitC	EKN05_009275 iron/manganese ABC transporter permease subunit SitC	357	509	95
EKN05_009280	EKN05_009280	iron/manganese ABC transporter permease subunit SitD	EKN05_009280 iron/manganese ABC transporter permease subunit SitD	109	102	74
EKN05_009295	EKN05_009295	tail fiber assembly protein	EKN05_009295 tail fiber assembly protein	28	81	159
EKN05_009305	EKN05_009305	hypothetical protein	EKN05_009305 hypothetical protein	202	134	420
EKN05_009325	EKN05_009325	site-specific integrase	EKN05_009325 site-specific integrase	1740	1652	1173
EKN05_009355	EKN05_009355	ORF6N domain-containing protein	EKN05_009355 ORF6N domain-containing protein	956	1066	581
EKN05_009370	EKN05_009370	DUF1133 family protein	EKN05_009370 DUF1133 family protein	206	309	132
EKN05_009380	EKN05_009380	DUF1367 family protein	EKN05_009380 DUF1367 family protein	356	184	207
EKN05_009390	EKN05_009390	hypothetical protein	EKN05_009390 hypothetical protein	106	99	53
EKN05_009405	EKN05_009405	hypothetical protein	EKN05_009405 hypothetical protein	80	170	46
EKN05_009455	EKN05_009455	DUF1376 domain-containing protein	EKN05_009455 DUF1376 domain-containing protein	3370	3592	2172
EKN05_009465	EKN05_009465	LysR family transcriptional regulator	EKN05_009465 LysR family transcriptional regulator	508	414	391
EKN05_009470	EKN05_009470	alpha/beta hydrolase	EKN05_009470 alpha/beta hydrolase	1036	910	1591
EKN05_009475	EKN05_009475	alpha/beta hydrolase	EKN05_009475 alpha/beta hydrolase	48	277	454
EKN05_009490	EKN05_009490	SDR family oxidoreductase	EKN05_009490 SDR family oxidoreductase	176	430	767
EKN05_009500	EKN05_009500	L-Ala-D/L-Glu epimerase	EKN05_009500 L-Ala-D/L-Glu epimerase	80	42	44
EKN05_009510	EKN05_009510	TyrR family transcriptional regulator	EKN05_009510 TyrR family transcriptional regulator	1	63	7
EKN05_009515	EKN05_009515	TIGR01620 family protein	EKN05_009515 TIGR01620 family protein	349	611	476
EKN05_009520	EKN05_009520	YcjX family protein	EKN05_009520 YcjX family protein	1368	1463	405
EKN05_009530	EKN05_009530	monomeric porin OmpG	EKN05_009530 monomeric porin OmpG	2928	1796	1989
EKN05_009540	EKN05_009540	beta-phosphoglucomutase	EKN05_009540 beta-phosphoglucomutase	1	0	0
EKN05_009545	EKN05_009545	kojibiose phosphorylase	EKN05_009545 kojibiose phosphorylase	2080	1950	1087
EKN05_009550	EKN05_009550	Gfo/Idh/MocA family oxidoreductase	EKN05_009550 Gfo/Idh/MocA family oxidoreductase	2924	2165	1801
EKN05_009560	EKN05_009560	zinc-binding alcohol dehydrogenase	EKN05_009560 zinc-binding alcohol dehydrogenase	108	36	18
EKN05_009565	EKN05_009565	carbohydrate ABC transporter permease	EKN05_009565 carbohydrate ABC transporter permease	505	417	885
EKN05_009615	EKN05_009615	phage shock protein PspA	EKN05_009615 phage shock protein PspA	163	13	1
EKN05_009625	EKN05_009625	4-aminobutyrate transaminase	EKN05_009625 4-aminobutyrate transaminase	227	377	132
EKN05_009630	EKN05_009630	FAD-binding oxidoreductase	EKN05_009630 FAD-binding oxidoreductase	1697	1244	1244
EKN05_009640	EKN05_009640	HTH-type transcriptional regulator PuuR	EKN05_009640 HTH-type transcriptional regulator PuuR	1900	1745	857
EKN05_009645	EKN05_009645	gamma-glutamyl-gamma-aminobutyrate hydrolase	EKN05_009645 gamma-glutamyl-gamma-aminobutyrate hydrolase	262	132	80
EKN05_009650	EKN05_009650	glutamine synthetase	EKN05_009650 glutamine synthetase	5815	7063	3427
EKN05_009655	EKN05_009655	hypothetical protein	EKN05_009655 hypothetical protein	165	472	18
EKN05_009705	EKN05_009705	CMD domain-containing protein	EKN05_009705 CMD domain-containing protein	1708	1525	986
EKN05_009710	EKN05_009710	exoribonuclease II	EKN05_009710 exoribonuclease II	6797	5412	4200
EKN05_009725	EKN05_009725	hypothetical protein	EKN05_009725 hypothetical protein	143	79	27
EKN05_009730	EKN05_009730	DeoR/GlpR transcriptional regulator	EKN05_009730 DeoR/GlpR transcriptional regulator	1	122	49
EKN05_009750	EKN05_009750	lipopolysaccharide assembly protein LapB	EKN05_009750 lipopolysaccharide assembly protein LapB	306	232	3
EKN05_009760	EKN05_009760	phosphatidylglycerophosphatase B	EKN05_009760 phosphatidylglycerophosphatase B	341	461	166
EKN05_009770	EKN05_009770	aconitate hydratase AcnA	EKN05_009770 aconitate hydratase AcnA	1089	496	1357
EKN05_009815	EKN05_009815	YciK family oxidoreductase	EKN05_009815 YciK family oxidoreductase	504	545	88
EKN05_009820	EKN05_009820	cob(I)yrinic acid a,c-diamide adenosyltransferase	EKN05_009820 cob(I)yrinic acid a,c-diamide adenosyltransferase	328	120	70
EKN05_009845	EKN05_009845	anthranilate synthase component I	EKN05_009845 anthranilate synthase component I	298	257	244
EKN05_009850	EKN05_009850	bifunctional anthranilate synthase glutamate amidotransferase component TrpG/anthranilate phosphoribosyltransferase TrpD	EKN05_009850 bifunctional anthranilate synthase glutamate amidotransferase component TrpG/anthranilate phosphoribosyltransferase TrpD	226	486	198
EKN05_009855	EKN05_009855	bifunctional indole-3-glycerol-phosphate synthase TrpC/phosphoribosylanthranilate isomerase TrpF	EKN05_009855 bifunctional indole-3-glycerol-phosphate synthase TrpC/phosphoribosylanthranilate isomerase TrpF	296	389	590
EKN05_009860	EKN05_009860	tryptophan synthase subunit beta	EKN05_009860 tryptophan synthase subunit beta	244	81	0
EKN05_009865	EKN05_009865	tryptophan synthase subunit alpha	EKN05_009865 tryptophan synthase subunit alpha	57	99	69
EKN05_009875	EKN05_009875	ferritin-like domain-containing protein	EKN05_009875 ferritin-like domain-containing protein	244	201	443
EKN05_009885	EKN05_009885	outer membrane protein OmpW	EKN05_009885 outer membrane protein OmpW	454	203	71
EKN05_009900	EKN05_009900	septation protein A	EKN05_009900 septation protein A	208	149	94
EKN05_009905	EKN05_009905	acyl-CoA thioester hydrolase YciA	EKN05_009905 acyl-CoA thioester hydrolase YciA	491	254	356
EKN05_009915	EKN05_009915	YciI family protein	EKN05_009915 YciI family protein	923	922	134
EKN05_009935	EKN05_009935	cardiolipin synthase	EKN05_009935 cardiolipin synthase	193	178	30
EKN05_009945	EKN05_009945	murein tripeptide/oligopeptide ABC transporter ATP binding protein OppF	EKN05_009945 murein tripeptide/oligopeptide ABC transporter ATP binding protein OppF	668	708	220
EKN05_009950	EKN05_009950	murein tripeptide/oligopeptide ABC transporter ATP binding protein OppD	EKN05_009950 murein tripeptide/oligopeptide ABC transporter ATP binding protein OppD	3267	2724	956
EKN05_009960	EKN05_009960	oligopeptide ABC transporter permease OppB	EKN05_009960 oligopeptide ABC transporter permease OppB	985	1592	658
EKN05_009965	EKN05_009965	oligopeptide ABC transporter substrate-binding protein OppA	EKN05_009965 oligopeptide ABC transporter substrate-binding protein OppA	341	520	157
EKN05_009975	EKN05_009975	bifunctional acetaldehyde-CoA/alcohol dehydrogenase	EKN05_009975 bifunctional acetaldehyde-CoA/alcohol dehydrogenase	289	351	15
EKN05_009985	EKN05_009985	thymidine kinase	EKN05_009985 thymidine kinase	291	355	308
EKN05_010000	EKN05_010000	two-component system response regulator RssB	EKN05_010000 two-component system response regulator RssB	3635	3235	1691
EKN05_010005	EKN05_010005	patatin-like phospholipase RssA	EKN05_010005 patatin-like phospholipase RssA	5	108	386
EKN05_010010	EKN05_010010	YchJ family protein	EKN05_010010 YchJ family protein	62	96	19
EKN05_010020	EKN05_010020	tRNA-Tyr	EKN05_010020 tRNA-Tyr	10	30	22
EKN05_010035	EKN05_010035	nitrate reductase molybdenum cofactor assembly chaperone	EKN05_010035 nitrate reductase molybdenum cofactor assembly chaperone	293	85	1
EKN05_010040	EKN05_010040	nitrate reductase subunit beta	EKN05_010040 nitrate reductase subunit beta	1409	946	2087
EKN05_010045	EKN05_010045	nitrate reductase subunit alpha	EKN05_010045 nitrate reductase subunit alpha	2590	2110	1804
EKN05_010050	EKN05_010050	nitrate transporter NarK	EKN05_010050 nitrate transporter NarK	479	366	400
EKN05_010055	EKN05_010055	nitrate/nitrite two-component system sensor histidine kinase NarX	EKN05_010055 nitrate/nitrite two-component system sensor histidine kinase NarX	316	351	307
EKN05_010060	EKN05_010060	two-component system response regulator NarL	EKN05_010060 two-component system response regulator NarL	22	205	508
EKN05_010075	EKN05_010075	gamma-glutamylcyclotransferase	EKN05_010075 gamma-glutamylcyclotransferase	182	30	18
EKN05_010085	EKN05_010085	sodium-potassium/proton antiporter ChaA	EKN05_010085 sodium-potassium/proton antiporter ChaA	203	125	396
